,genre,count
0,album rock,413
1,adult standards,123
2,dutch pop,88
3,alternative rock,86
4,dance pop,83
5,dutch indie,75
6,alternative metal,70
7,dance rock,52
8,classic rock,51
9,dutch cabaret,51
10,glam rock,49
11,modern rock,49
12,pop,47
13,art rock,40
14,permanent wave,38
15,british invasion,36
16,irish rock,34
17,british soul,31
18,europop,27
19,classic uk pop,22
20,dutch rock,18
21,disco,18
22,neo mellow,17
23,glam metal,17
24,blues rock,15
25,alternative dance,15
26,art pop,14
27,funk,13
28,dutch hip hop,13
29,dutch americana,12
30,classic soul,11
31,mellow gold,11
32,big beat,11
33,britpop,11
34,carnaval limburg,10
35,arkansas country,9
36,chanson,9
37,german pop,9
38,folk,8
39,belgian rock,8
40,reggae,8
41,blues,8
42,australian pop,8
43,big room,7
44,modern folk rock,7
45,celtic rock,7
46,detroit hip hop,7
47,electro,7
48,chamber pop,7
49,alternative pop rock,7
50,canadian folk,7
51,boy band,6
52,baroque pop,6
53,brill building pop,6
54,east coast hip hop,6
55,classic country pop,5
56,canadian pop,5
57,celtic,5
58,dutch prog,5
59,g funk,5
60,garage rock,4
61,british folk,4
62,folk-pop,4
63,belgian pop,4
64,metropopolis,4
65,reggae fusion,4
66,dutch metal,4
67,downtempo,4
68,acoustic pop,4
69,edm,3
70,bubblegum pop,3
71,electropop,3
72,italian pop,3
73,barbadian pop,3
74,australian rock,3
75,eurodance,3
76,christelijk,3
77,classic schlager,3
78,bow pop,2
79,punk,2
80,new wave pop,2
81,alternative hip hop,2
82,austropop,2
83,nederpop,2
84,latin,2
85,indie pop,2
86,danish pop rock,2
87,australian psych,2
88,british alternative rock,2
89,finnish metal,2
90,candy pop,2
91,scottish singer-songwriter,2
92,contemporary country,2
93,gabba,2
94,neo soul,2
95,australian indie folk,1
96,atl hip hop,1
97,british singer-songwriter,1
98,latin alternative,1
99,latin jazz,1
100,pop punk,1
101,uk pop,1
102,hip pop,1
103,german pop rock,1
104,canadian rock,1
105,laboratorio,1
106,compositional ambient,1
107,levenslied,1
108,operatic pop,1
109,classic soundtrack,1
110,celtic punk,1
111,soft rock,1
112,electro house,1
113,streektaal,1
114,alaska indie,1
115,australian alternative rock,1
116,gangster rap,1
117,irish singer-songwriter,1
118,trance,1
119,afropop,1
120,ccm,1
121,rock-and-roll,1
122,german alternative rock,1
123,basshall,1
124,chicago soul,1
125,alternative country,1
126,hard rock,1
127,classic italian pop,1
128,la pop,1
129,acid jazz,1
130,yacht rock,1
131,stomp and holler,1
132,australian americana,1
133,bebop,1
134,cyberpunk,1
135,motown,1
136,contemporary vocal jazz,1
137,icelandic indie,1
138,irish pop,1
139,diva house,1
140,j-core,1
141,danish pop,1
142,alternative pop,1
143,electronica,1
144,australian dance,1
145,classical rock,1
146,classic canadian rock,1
147,happy hardcore,1
148,indie anthem-folk,1
